a_opt,u_opt,meas,error
no_action,0.0062507360000000345,38.234523775657756,1.0
no_action,0.028187030799999957,52.98469609494797,1.0
no_action,0.029919295999999984,53.52832502766767,1.0
no_action,0.011494222299999968,44.26063898156751,1.0
no_action,0.03587207999999997,56.939777627468686,1.0
no_action,0.025654565399999996,51.88980959040589,1.0
strengthen,0.056872537015677606,67.01797139085083,1.0
no_action,0.04753332960000001,61.877216290319254,1.0
no_action,0.023613700399999993,51.14395989076983,1.0
no_action,0.023402249099999994,50.95431218672184,1.0
no_action,0.021297590199999994,49.77758228468289,1.0
no_action,0.009988585400000027,42.960696003937784,1.0
no_action,0.04110816149999996,59.71575880248967,1.0
no_action,0.012772324599999996,45.49200130524749,1.0
no_action,0.011211078400000019,44.33155251148674,1.0
no_action,0.006385411999999979,38.64676283820101,1.0
no_action,0.008690466699999955,41.24992067600783,1.0
no_action,0.01023238059999998,43.229660622050936,1.0
no_action,0.007959572500000012,40.33240337120216,1.0
no_action,0.007461574999999998,40.033477410583316,1.0
no_action,0.007124856400000046,39.57582390110752,1.0
no_action,0.007620097999999964,40.23606683058465,1.0
no_action,0.009627245000000006,42.36326112538751,1.0
no_action,0.011748640099999985,44.414194012478404,1.0
no_action,0.018606838800000025,48.807285770171475,1.0
no_action,0.008562072000000032,41.09735978482088,1.0
no_action,0.009932986299999946,43.16179176086428,1.0
no_action,0.010851949299999997,43.79207679884467,1.0
no_action,0.007975519699999989,40.51674799151443,1.0
no_action,0.008195790399999958,40.93972663315847,1.0
no_action,0.012285473499999977,45.05372654322684,1.0
no_action,0.012747360800000052,45.263844003412274,1.0
no_action,0.012767242799999967,45.37537715413044,1.0
no_action,0.0071107532999999945,39.16333730509093,1.0
no_action,0.010749433400000008,43.50579004269336,1.0
no_action,0.011927686099999946,44.764401182840444,1.0
no_action,0.008797070800000029,41.39819668747358,1.0
no_action,0.010628142399999985,43.435953927369084,1.0
no_action,0.008934414800000012,41.47094101165096,1.0
no_action,0.005548887999999974,37.56912644229056,1.0
no_action,0.01465909030000001,46.993276406889024,1.0
no_action,0.009601504000000038,42.56205251971445,1.0
no_action,0.00915641970000003,41.614016730016765,1.0
no_action,0.00805940000000005,40.77607947383984,1.0
no_action,0.008085156699999985,40.691651856440075,1.0
no_action,0.010025430000000002,43.09428819539548,1.0
